#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2422 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:93 out:95 type:b dur:2 cpbdur:2 q:20.49 aq:15.41 tex:18273 mv:12225 misc:3430 imb:14 pmb:1517 smb:6629 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:20.50 aq:15.64 tex:18343 mv:12016 misc:3361 imb:29 pmb:1530 smb:6601 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:20.49 aq:10.42 tex:205748 mv:21452 misc:1208 imb:403 pmb:2183 smb:5574 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:20.50 aq:14.12 tex:44132 mv:19338 misc:2770 imb:65 pmb:1960 smb:6135 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:20.51 aq:15.20 tex:20026 mv:12704 misc:3294 imb:31 pmb:1547 smb:6582 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:20.49 aq:15.25 tex:19347 mv:12259 misc:3370 imb:29 pmb:1578 smb:6553 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:20.51 aq:10.70 tex:203831 mv:21518 misc:1251 imb:403 pmb:2170 smb:5587 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:20.50 aq:13.75 tex:44291 mv:18918 misc:2615 imb:88 pmb:1943 smb:6129 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:20.49 aq:15.44 tex:20590 mv:13090 misc:3280 imb:42 pmb:1549 smb:6569 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:20.51 aq:15.73 tex:20494 mv:12629 misc:3341 imb:33 pmb:1590 smb:6537 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:20.57 aq:10.29 tex:214271 mv:22023 misc:1258 imb:477 pmb:2106 smb:5577 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:20.54 aq:13.97 tex:46947 mv:19058 misc:2739 imb:91 pmb:1964 smb:6105 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:20.53 aq:15.55 tex:22536 mv:13666 misc:3214 imb:48 pmb:1605 smb:6507 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:20.55 aq:15.19 tex:20824 mv:12747 misc:3341 imb:39 pmb:1607 smb:6514 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:20.59 aq:10.02 tex:211312 mv:22005 misc:1339 imb:441 pmb:2134 smb:5585 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:20.58 aq:14.28 tex:46389 mv:19063 misc:2676 imb:86 pmb:1944 smb:6130 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:20.57 aq:15.96 tex:21767 mv:13253 misc:3308 imb:50 pmb:1592 smb:6518 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:20.59 aq:15.73 tex:20037 mv:12933 misc:3270 imb:43 pmb:1582 smb:6535 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:20.80 aq:10.46 tex:197758 mv:21969 misc:1233 imb:456 pmb:2116 smb:5588 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:20.70 aq:13.69 tex:45360 mv:19679 misc:2689 imb:98 pmb:1950 smb:6112 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:20.65 aq:15.49 tex:23390 mv:14138 misc:3136 imb:52 pmb:1639 smb:6469 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:20.75 aq:15.26 tex:19283 mv:12254 misc:3271 imb:38 pmb:1551 smb:6571 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:20.85 aq:10.74 tex:202187 mv:22015 misc:1254 imb:469 pmb:2118 smb:5573 d:- ref:0 ;
